Seller_ID,Company_Name,Country_of_Origin,Address,Years_Active,Annual_Revenue_USD,Total_Products,Avg_Customer_Rating,Verified_Status,Return_Policy_Days,Shipping_Countries,Customer_Service_Score,Dispute_Resolution_Rate,Payment_Methods_Accepted,Social_Media_Presence,Industry_Certifications
S001,TechGadgets Inc.,USA,"123 Main St, New York, NY 10001",8,5200000,1250,4.7,Verified,30,Worldwide,9.2,98%,"Credit Card, PayPal, Apple Pay",High,ISO 9001
S002,EcoFriendly Goods,Canada,"456 Green Ave, Toronto, ON M5V 2H1",3,750000,320,4.2,Verified,14,North America,8.5,95%,"Credit Card, PayPal",Medium,FSC Certified
S003,LuxuryBrands Co.,France,"789 Champs-Élysées, Paris 75008",12,15000000,580,4.9,Verified,60,Europe; North America,9.8,99%,"Credit Card, Bank Transfer, Crypto",High,None
S004,BargainDeals,China,"101 Cheap St, Shenzhen 518000",2,300000,5000,3.5,Not Verified,7,Asia,6.8,80%,"Credit Card, Alipay",Low,None
S005,HomeEssentials,UK,"202 Cozy Ln, London EC1A 1BB",6,2800000,750,4.5,Verified,28,Europe,8.9,97%,"Credit Card, PayPal, Google Pay",Medium,ISO 14001
S006,SportyGear,Germany,"303 Athlete Blvd, Berlin 10115",9,7500000,980,4.6,Verified,21,Worldwide,9.0,96%,"Credit Card, PayPal, Sofort",High,TÜV Certified
S007,BeautySecrets,South Korea,"404 Glam St, Seoul 04524",4,1200000,420,4.4,Verified,14,Asia; North America,8.7,93%,"Credit Card, KakaoPay",Medium,COSMOS Certified
S008,GourmetDelights,Italy,"505 Pasta Rd, Rome 00185",7,3500000,280,4.8,Verified,10,Europe,9.5,98%,"Credit Card, PayPal",Medium,FDA Approved
S009,ElectronicWizards,Japan,"606 Tech Ave, Tokyo 100-0005",11,9000000,1500,4.7,Verified,30,Worldwide,9.3,97%,"Credit Card, PayPal, Konbini",High,RoHS Compliant
S010,FashionForward,Spain,"707 Trendy St, Barcelona 08001",5,1800000,650,4.3,Verified,21,Europe; South America,8.6,94%,"Credit Card, PayPal",High,OEKO-TEX Certified
S011,OutdoorAdventures,Australia,"808 Bush Rd, Sydney NSW 2000",8,4200000,890,4.5,Verified,30,Oceania; Asia,8.8,95%,"Credit Card, PayPal, AfterPay",Medium,ISO 9001
S012,ArtisanCrafts,Mexico,"909 Creative Ln, Mexico City 06500",3,500000,180,4.6,Verified,14,North America; South America,9.1,96%,"Credit Card, PayPal",Low,Fair Trade Certified
S013,PetParadise,USA,"1010 Furry St, Los Angeles, CA 90001",6,2500000,720,4.4,Verified,30,North America,8.7,93%,"Credit Card, PayPal, Venmo",Medium,AAHA Accredited
S014,SmartHome Solutions,Netherlands,"1111 IoT Ave, Amsterdam 1012 JS",4,1500000,350,4.2,Verified,21,Europe,8.4,92%,"Credit Card, iDEAL",High,CE Certified
S015,VintageFinds,UK,"1212 Retro Rd, Manchester M1 1AD",9,800000,1100,4.7,Verified,14,Worldwide,9.0,97%,"Credit Card, PayPal",Medium,None
S016,FitnessFirst,USA,"1313 Muscle St, Miami, FL 33101",7,3800000,560,4.5,Verified,30,North America; Europe,8.9,95%,"Credit Card, PayPal, Apple Pay",High,NSF Certified
S017,EcoCleaners,Sweden,"1414 Green Blvd, Stockholm 111 44",5,1000000,220,4.8,Verified,21,Europe,9.4,98%,"Credit Card, Klarna",Medium,Nordic Swan Ecolabel
S018,GlobalReads,UK,"1515 Book Ln, Oxford OX1 2JD",12,6500000,25000,4.9,Verified,30,Worldwide,9.7,99%,"Credit Card, PayPal",High,None
S019,ToyWonderland,China,"1616 Play St, Guangzhou 510000",3,900000,3500,3.8,Not Verified,14,Asia; Oceania,7.5,85%,"Credit Card, Alipay, WeChat Pay",Low,ASTM Certified
S020,CampersDream,Canada,"1717 Outdoor Ave, Vancouver, BC V6B 1S5",6,2200000,480,4.6,Verified,30,North America,9.2,96%,"Credit Card, PayPal",Medium,Leave No Trace Partner
S021,HealthyChoices,USA,"1818 Wellness Rd, San Francisco, CA 94105",4,1300000,390,4.3,Verified,21,North America,8.6,93%,"Credit Card, PayPal, Apple Pay",Medium,USDA Organic
S022,DIYMasters,Germany,"1919 Craft St, Hamburg 20095",8,3000000,1700,4.7,Verified,28,Europe,9.1,97%,"Credit Card, PayPal, Giropay",High,TÜV Certified
S023,LuxuryTimepieces,Switzerland,"2020 Precision Ln, Geneva 1204",15,12000000,180,4.9,Verified,60,Worldwide,9.8,99%,"Credit Card, Bank Transfer",High,COSC Certified
S024,GardenOasis,UK,"2121 Bloom Rd, Edinburgh EH1 1BB",5,1600000,850,4.4,Verified,21,Europe,8.8,94%,"Credit Card, PayPal",Medium,RHS Accredited
S025,TechInnovators,South Korea,"2222 Future Ave, Incheon 22002",7,4500000,620,4.6,Verified,30,Asia; North America,9.0,96%,"Credit Card, KakaoPay, PayPal",High,ISO 27001
S026,CulinaryEssentials,France,"2323 Gourmet Blvd, Lyon 69001",9,3200000,410,4.8,Verified,14,Europe,9.3,98%,"Credit Card, PayPal",Medium,NSF Certified
S027,EcoFashion,India,"2424 Sustainable St, Mumbai 400001",3,700000,520,4.2,Verified,21,Asia; Middle East,8.3,91%,"Credit Card, PayTM",Low,GOTS Certified
S028,AudioPhiles,Japan,"2525 Sound Ave, Osaka 530-0001",11,5500000,780,4.7,Verified,30,Worldwide,9.2,97%,"Credit Card, PayPal, Konbini",High,Hi-Res Audio Certified
S029,KidsFunZone,USA,"2626 Playful Ln, Orlando, FL 32801",6,2400000,1300,4.5,Verified,30,North America,8.9,95%,"Credit Card, PayPal",Medium,CPSC Compliant
S030,OfficeInnovations,Germany,"2727 Productivity Rd, Munich 80331",8,3800000,950,4.6,Verified,21,Europe,9.1,96%,"Credit Card, PayPal, SEPA",High,ISO 9001
S031,BeautyEssentials,France,"2828 Glamour St, Nice 06000",5,1900000,680,4.4,Verified,28,Europe; Middle East,8.7,93%,"Credit Card, PayPal",Medium,Leaping Bunny Certified
S032,SmartWearables,China,"2929 Tech Blvd, Shenzhen 518000",4,2800000,320,4.1,Verified,14,Asia; Oceania,8.2,90%,"Credit Card, Alipay, WeChat Pay",High,FCC Certified
S033,HomeComforts,Sweden,"3030 Cozy Ave, Malmö 211 20",7,2600000,590,4.7,Verified,30,Europe,9.3,97%,"Credit Card, Klarna",Medium,OEKO-TEX Certified
S034,AdventureGear,New Zealand,"3131 Explorer Rd, Queenstown 9300",6,1700000,430,4.6,Verified,21,Oceania; Asia,9.0,95%,"Credit Card, PayPal",Medium,Bluesign Approved
S035,VintageCollectibles,UK,"3232 Nostalgia Ln, Bristol BS1 1AA",10,900000,2800,4.8,Verified,14,Worldwide,9.4,98%,"Credit Card, PayPal",Low,None
S036,PetWellness,USA,"3333 Furry Friend St, Portland, OR 97201",5,2000000,510,4.5,Verified,30,North America,8.8,94%,"Credit Card, PayPal, Apple Pay",Medium,NASC Certified
S037,GreenEnergy,Germany,"3434 Eco Blvd, Frankfurt 60313",4,1400000,180,4.3,Verified,21,Europe,8.6,92%,"Credit Card, PayPal, Sofort",High,TÜV Certified
S038,ArtisanJewelry,Italy,"3535 Sparkle Rd, Florence 50122",8,3500000,720,4.7,Verified,30,Europe; North America,9.2,97%,"Credit Card, PayPal",Medium,RJC Certified
S039,HealthySnacks,Australia,"3636 Nutrition Ave, Melbourne VIC 3000",3,800000,290,4.2,Verified,14,Oceania; Asia,8.4,91%,"Credit Card, PayPal, AfterPay",Low,Organic Certified
S040,TechAccessories,South Korea,"3737 Gadget St, Busan 48060",6,2900000,1100,4.4,Verified,21,Asia; North America,8.7,93%,"Credit Card, KakaoPay, PayPal",High,CE Certified
S041,OutdoorFurniture,Canada,"3838 Patio Rd, Calgary, AB T2P 1J9",7,3100000,380,4.6,Verified,30,North America,9.1,96%,"Credit Card, PayPal",Medium,FSC Certified
S042,VintageFashion,France,"3939 Retro Ave, Paris 75001",9,2300000,1500,4.8,Verified,14,Europe; North America,9.5,98%,"Credit Card, PayPal",High,None
S043,SmartKitchen,Japan,"4040 Culinary Tech Rd, Tokyo 150-0002",5,2700000,450,4.5,Verified,21,Asia; Oceania,8.9,95%,"Credit Card, PayPal, Konbini",High,ETL Listed
S044,EcoBeauty,USA,"4141 Natural Glow St, Seattle, WA 98101",4,1100000,320,4.3,Verified,30,North America,8.5,92%,"Credit Card, PayPal, Apple Pay",Medium,COSMOS Certified
S045,FitnessInnovators,UK,"4242 Healthy Living Rd, Manchester M1 2WD",6,2500000,280,4.6,Verified,21,Europe,9.0,96%,"Credit Card, PayPal",High,CE Certified
S046,GlobalFlavors,Spain,"4343 Spice Ln, Barcelona 08001",8,3300000,620,4.7,Verified,14,Europe; South America,9.2,97%,"Credit Card, PayPal",Medium,FDA Approved
S047,SmartHomeHub,Netherlands,"4444 IoT Blvd, Rotterdam 3011 AD",3,1800000,210,4.2,Verified,30,Europe,8.3,91%,"Credit Card, iDEAL",High,Z-Wave Certified
S048,SustainableFashion,Sweden,"4545 Eco Chic Ave, Stockholm 111 57",5,2000000,480,4.5,Verified,21,Europe; North America,8.8,94%,"Credit Card, Klarna",Medium,GOTS Certified
S049,AdventureCameras,USA,"4646 Action St, Boulder, CO 80301",7,3600000,350,4.7,Verified,30,Worldwide,9.3,97%,"Credit Card, PayPal, Apple Pay",High,IP68 Certified
S050,ArtisanHomeDecor,India,"4747 Craft Blvd, Jaipur 302001",4,900000,720,4.4,Verified,14,Asia; Middle East,8.7,93%,"Credit Card, PayTM",Low,Fair Trade Certified